id,eeprom,speed_mode,fan_qtd,speed_control,project_type,bios_id
85,ThinkPad X1 Yoga 3rd,Hexadecimal,Single Fan,1,2,N25
86,ThinkPad R480,Decimal,Single Fan,1,2,R0P
87,ThinkPad X1 Extreme,Hexadecimal,Single Fan,1,2,N2E
88,ThinkPad A475,Hexadecimal,Single Fan,1,2,R04
89,ThinkPad T495,Hexadecimal,Single Fan,1,2,R12
90,ThinkPad T495s,Hexadecimal,Single Fan,1,2,R13
91,ThinkPad X395,Hexadecimal,Single Fan,1,2,R13
92,ThinkPad E495,Hexadecimal,Single Fan,1,2,R11
93,ThinkPad E595,Hexadecimal,Single Fan,1,2,R11
94,ThinkPad T490,Hexadecimal,Single Fan,1,2,N2R
95,ThinkPad T490,Hexadecimal,Single Fan,1,2,N2I
96,ThinkPad T590,Hexadecimal,Single Fan,1,2,N2R
97,ThinkPad T590,Hexadecimal,Single Fan,1,2,N2I
98,ThinkPad P53s,Hexadecimal,Single Fan,1,2,N2R
99,ThinkPad P53s,Hexadecimal,Single Fan,1,2,N2I
100,ThinkPad T490s,Hexadecimal,Single Fan,1,2,N2S
101,ThinkPad T490s,Hexadecimal,Single Fan,1,2,N2J
102,ThinkPad X390,Hexadecimal,Single Fan,1,2,N2S
103,ThinkPad X390,Hexadecimal,Single Fan,1,2,N2J
104,ThinkPad X1C 5th W10DG,Hexadecimal,Single Fan,1,2,N1M
105,ThinkPad E490,Hexadecimal,Single Fan,1,2,R0Y
106,ThinkPad R490,Hexadecimal,Single Fan,1,2,R0Y
107,ThinkPad E590,Hexadecimal,Single Fan,1,2,R0Y
108,ThinkPad R590,Hexadecimal,Single Fan,1,2,R0Y
109,ThinkPad E490s,Hexadecimal,Single Fan,1,2,R0Y
110,ThinkPad S3,Hexadecimal,Single Fan,1,2,R0Y
111,ThinkPad P1 Gen 2,Hexadecimal,Dual Fan,1,2,N2O
112,ThinkPad X1 Yoga 4th,Hexadecimal,Single Fan,1,2,N2H
113,ThinkPad X1 Yoga 4th,Hexadecimal,Single Fan,1,2,N2Q
114,ThinkPad X1 Carbon 7th,Hexadecimal,Single Fan,1,2,N2H
115,ThinkPad X1 Yoga 4th,Hexadecimal,Single Fan,1,2,N2Q
116,ThinkPad X1 Extreme 2nd,Hexadecimal,Dual Fan,1,2,N2O
117,ThinkPad P53,Hexadecimal,Dual Fan,1,2,N2N
118,ThinkPad L490,Hexadecimal,Single Fan,1,2,R0Z
119,ThinkPad L590,Hexadecimal,Single Fan,1,2,R0Z
120,ThinkPad P15 Gen 1,Hexadecimal,Dual Fan,1,2,N30
121,ThinkPad T15g Gen 1,Hexadecimal,Dual Fan,1,2,N30
122,ThinkPad P17 Gen 1,Hexadecimal,Dual Fan,1,2,N30
123,ThinkPad T15p Gen 1,Hexadecimal,Single Fan,1,2,N30
124,ThinkPad P15v Gen 1,Hexadecimal,Single Fan,1,2,N30
125,ThinkPad X1 Carbon Gen 8,Hexadecimal,Single Fan,1,2,N2W
126,ThinkPad X1 Yoga Gen 5,Hexadecimal,Single Fan,1,2,N2W
127,ThinkPad L14 Gen 1,Hexadecimal,Single Fan,1,2,R17
128,ThinkPad L14 Gen 1,Hexadecimal,Single Fan,1,2,R19
129,ThinkPad L15 Gen 1,Hexadecimal,Single Fan,1,2,R17
130,ThinkPad L15 Gen 1,Hexadecimal,Single Fan,1,2,R19
131,ThinkPad E15 Gen 2,Hexadecimal,Single Fan,1,2,R1A
132,ThinkPad E15 Gen 2,Hexadecimal,Single Fan,1,2,R1E
133,ThinkPad T14 Gen 1,Hexadecimal,Single Fan,1,2,N2X
134,ThinkPad T14s Gen 1,Hexadecimal,Single Fan,1,2,N2Y
135,ThinkPad X13 Gen 1,Hexadecimal,Single Fan,1,2,N2Y
136,ThinkPad X12 Detachable Gen 1,Hexadecimal,Single Fan,1,2,R1G
137,VersaPro Type VS,Hexadecimal,Single Fan,1,2,R1H
138,ThinkPad E14 Gen 2,Hexadecimal,Single Fan,1,2,R1E
