id,eeprom,speed_mode,fan_qtd,speed_control,project_type,bios_id
219,ThinkPad neo 14,Hexadecimal,Dual Fan,1,2,R21
220,ThinkPad X13 Yoga Gen 3,Hexadecimal,Single Fan,1,2,R1Z
221,ThinkPad L13 Gen 3,Hexadecimal,Single Fan,1,2,R1T
222,ThinkPad L13 Gen 3,Hexadecimal,Single Fan,1,2,R1U
223,ThinkPad L13 Yoga Gen 3,Hexadecimal,Single Fan,1,2,R1T
224,ThinkPad L13 Yoga Gen 3,Hexadecimal,Single Fan,1,2,R1U
225,ThinkPad S2 Gen 7,Hexadecimal,Single Fan,1,2,R1T
226,ThinkPad S2 Gen 7,Hexadecimal,Single Fan,1,2,R1U
227,ThinkPad S2 Yoga Gen 7,Hexadecimal,Single Fan,1,2,R1T
228,ThinkPad S2 Yoga Gen 7,Hexadecimal,Single Fan,1,2,R1U
229,ThinkPad P1 Gen 5,Hexadecimal,Dual Fan,1,2,N3J
230,ThinkPad X1 Extreme Gen 5,Hexadecimal,Dual Fan,1,2,N3J
231,ThinkPad L14 Gen 3i,Hexadecimal,Single Fan,1,2,R1X
232,ThinkPad L14 Gen 3a,Hexadecimal,Single Fan,1,2,R1Y
233,ThinkPad L15 Gen 3i,Hexadecimal,Single Fan,1,2,R1X
234,ThinkPad L15 Gen 3a,Hexadecimal,Single Fan,1,2,R1Y
235,ThinkPad E14,Hexadecimal,Single Fan,1,2,R16
236,ThinkPad E14 Gen 5,Hexadecimal,Single Fan,1,2,R2A
237,ThinkPad E14 Gen 5,Hexadecimal,Single Fan,1,2,R2C
238,ThinkPad L14 Gen 4,Hexadecimal,Single Fan,1,2,R24
239,ThinkPad L14 Gen 4,Hexadecimal,Single Fan,1,2,R25
240,ThinkPad L14 Gen 3,Hexadecimal,Single Fan,1,2,R24
241,ThinkPad L14 Gen 3,Hexadecimal,Single Fan,1,2,R25
242,ThinkPad L15 Gen 4,Hexadecimal,Single Fan,1,2,R26
243,ThinkPad L15 Gen 4,Hexadecimal,Single Fan,1,2,R25
244,ThinkPad P14s Gen 4,Hexadecimal,Single Fan,1,2,N3Q
245,ThinkPad P14s Gen 4,Hexadecimal,Single Fan,1,2,R2F
